DILIrank_ID,PC-1,PC-2,PC-3,PC-4,PC-5,PC-6,PC-7,PC-8,PC-9,PC-10,PC-11,PC-12,PC-13,PC-14,PC-15,PC-16,PC-17,PC-18,PC-19,PC-20,PC-21,PC-22,PC-23,PC-24,PC-25,PC-26,PC-27,PC-28,PC-29,PC-30,PC-31,PC-32,PC-33,PC-34,PC-35,PC-36,PC-37,PC-38,PC-39,PC-40,PC-41,PC-42,PC-43,PC-44,PC-45,PC-46,PC-47,PC-48,PC-49,PC-50
orlistat,19.57193303407785,-3.1407598445976146,4.770130758902778,-9.274643685791528,-2.5253838850599,-4.688831468012155,-1.8218375216891407,-1.3754710509074275,0.8297447111599269,3.5484400820723616,1.9984053372672117,0.49069888213946805,-3.719614172962878,0.1475177678416764,0.3253686101512298,-0.08099415426467672,-1.6995642420557282,0.09056496623781936,-3.1844542423984343,-2.2682565310469163,-1.5502376282828076,2.377855132491486,-1.6232987269237122,4.56629773193002,-3.222091180495711,1.552281391226666,1.1485202690762752,-0.6325987604655352,-1.160876572292376,-0.17686158564504728,0.4358436644605148,4.619175950381757,2.1849098241999396,-2.3005189490273534,0.08690584005207982,-0.20322997027553014,-2.210691045082266,0.18661398703169582,-0.8081624491376919,0.7870258169795116,0.11472589990193297,1.3897545405077738,0.49315583828100246,1.388259942649232,0.779817256809323,2.006030082126263,-1.9317320219508678,-0.2504256208726465,-0.6103301987832117,0.4363695384717988
oxaliplatin,23.629001142645894,5.885725821632411,-0.6348057108934801,-3.7181813757121818,5.299355269041202,9.51637596287532,-7.219983980548229,0.8972412335460189,-2.7073035974520776,-1.1622957951161612,-3.031092423107946,2.279257735712513,1.0925054277424888,-0.22591906765249015,-1.503452879388632,-0.17488638663767428,1.165843873084785,-1.8222303501404025,-0.06344637566091016,-2.3145191154627365,1.7807470403854615,-0.5162057753310452,1.7376678762592748,-0.09709214989435976,4.029618761970673,1.9973913483263368,-1.1134578364577463,-0.3408551979085971,0.6091590524381668,-0.17941044249425891,-0.8862388413887885,0.9378810983720401,-0.4389430864364839,-1.0620401537499466,-0.2087405795415147,1.9626326315508535,0.3024905019432131,-1.1340813213132168,-2.700326674729364,1.9704087848019993,2.165844423933451,-0.4545452770778418,1.4804042905890769,1.1843919410133992,0.8660799029735481,0.26870452575093257,-1.4407026938309289,1.1559764766639218,-1.1424251530498268,-0.9551449783977026
papaverine,-6.562245785971623,-3.411505963892119,-1.9054009384835588,6.357611309574514,-6.910885405239621,-8.345733049160861,-1.065216204629161,-5.361494427772786,-2.6112541457854626,-1.3859725522995765,-4.711402871122037,-0.7791518369420639,1.965330187609576,-1.6958271317122573,-3.4301185131189977,-4.244531206616226,1.70139229234655,-0.22086871812999626,0.06933776088611687,2.4852058855089587,-0.07340137049243452,-0.25175481107757136,-2.193346519152218,-0.01754572644884091,-0.4873083042865121,3.527284812468742,0.04798803563640199,0.2357259869527415,1.3204642373245483,-1.5998377530849328,-1.8938926381804586,-2.3439229263113734,-1.1724204650298276,0.11143581867477556,-1.1309117545366472,1.3145316820154667,2.1691016109897476,1.2059710856447723,0.9413083743822434,0.9316000216000435,-1.615941828973719,0.00471485303212121,1.143845839919674,-0.28350701681359847,0.48514326230112476,0.1428696834239965,-1.93191548865417,-0.9348826516468272,-0.7687673230273695,-0.022837503014128433
phenytoin,-14.8306315986827,-6.425630716667307,-10.542088524397668,-0.5015070303534914,0.2621908595685638,5.582222654615221,3.473399471957139,-2.303460050496282,-2.9942751460398034,-0.32063628214372497,5.545077083785333,-1.7495192087185325,-1.8693087155733294,-3.012361434472352,-1.3551612096014178,3.2813422715673464,3.0527363458431998,-1.9063214529787027,-2.314645251572206,-0.9916863335351568,0.26567277987600374,0.387111632602595,1.768759789621776,-0.892241776169335,-1.1210711160466953,-1.465487608954689,0.9114792137515996,-0.25988244543012373,-0.5301545152435512,0.8977122563188118,-0.647600677889996,0.0001196176457897903,0.4775404720731492,1.0099489896993155,1.1833983167760536,0.13068641555494742,0.3275589421327226,0.836079367561142,-0.8340567151060583,-0.5482714699380989,0.030180628929893653,-0.7203340967533062,0.3869777245485788,-0.6063726830339756,1.0556651588296249,0.380999644726706,-0.6105564370828432,-1.1915226509760846,0.2595877732466869,1.155023988052112
raltegravir,-8.077222692928217,2.4915975084333257,7.839591451209247,2.4458997264716276,-7.781491446819816,0.210976437076845,-0.6749546702333272,-1.0739809102197375,-0.12246631452386343,-0.96038312183967,0.9956590203259468,-0.6175491961859826,1.033310041031957,0.7567950762371248,-0.20611939651183006,1.7649473864773508,-2.3300860437581186,0.607356952094272,2.4936309538512185,-0.7012625674973701,-0.4373552469357763,3.4588998638970336,-1.9623392166280018,0.3307053266403844,0.47076933588603814,-2.620676261804436,-0.030465364400404794,-1.8068306608153482,0.009676347403262477,-0.6279015946684791,-0.3305837607326247,-3.293948575459073,0.9491475741787639,-0.452830642593114,1.8921287306701113,1.8708403611085636,1.4441105448999054,1.2818425754610085,0.842918056458837,0.8622562822482953,-0.0966942556715263,1.8880768762384839,-0.7842677807042475,1.2640073344477196,-0.29561213195078717,0.7574058642734725,-0.5913049315191985,1.0164443404385366,0.8874901787712917,0.33164505297575925
rifampin,9.884555699051589,11.339335094922628,-1.7515604657422226,-1.1272190119098668,-8.172468030283504,-3.0695393442125853,5.141647357476004,-2.98450279658833,-3.0016412100938337,-2.1730179423254135,-4.163312008296745,-2.0508868121359414,-1.1329009231038214,0.6620635612144969,0.8607164349461166,4.401337642978447,-1.9625342293573371,-2.349391380677308,0.9032023701510298,3.0646861318861793,0.8179797401011268,0.958223720899812,-1.163790921774041,0.3561998728117551,-1.9523630597606865,-0.7079801073986519,1.858458161430026,-1.8730476751936715,1.4001081071544412,2.7863870997357014,-0.061506673991345975,-0.08057869582032637,0.6761146300140993,0.507584479111896,-1.313242259059866,-0.29739569811288735,1.2369583336012113,-0.3092869829307175,-0.003289976457293466,-1.0860093082600222,1.7113780281115358,0.8952172928414135,-2.406556693300571,0.38070283592761067,-1.1996408328087016,0.7213590803246182,2.193159946432254,-0.25149777654233524,2.1105362612288183,1.067668017003547
riluzole,3.184771548061691,-6.621710197171385,-1.952238225636331,13.519182464707937,-0.963748074113482,0.9937639377897574,-0.34198098752281464,-2.4154427853884095,2.113294185237246,-0.7585019489058029,-2.7884692986014703,2.9217471336519156,1.246927492979426,-1.5700873092413339,-3.0600723191657346,-3.774620907203637,1.0793841133886284,0.8740452197848724,-1.4298043512888803,-1.037455763877206,-2.9870245402735938,3.4092991910603114,4.0188452934109105,0.735236894781999,-0.5591439802329291,-1.3443242338881032,-0.4171459972805751,2.7782395603077994,-0.15770796302729043,0.9864135634302094,3.6863435744550457,0.2970648355834009,2.6796454036177115,1.133793185397447,0.6103224026041669,-0.7492369037000706,0.9276532782579595,-2.0853182621810324,0.43407874195493334,0.5287638726035009,0.7327228927680713,-1.542797381033069,-1.6416919268423014,-0.5010438081167581,-0.09942147041467984,-0.3409350355685136,-0.42418089415872945,-1.4650706780835434,0.090238107748692,0.7682337780294366
ritonavir,-6.989067958712674,-4.704162558357312,-0.2869291444452035,-11.475572005492326,-6.214914659797206,-0.6745828962292899,0.9471442766281967,-2.321923935405646,1.3444797184665844,2.2888346564331483,2.6535769504112916,-0.7744202334927215,3.3433769410501775,0.5147162988189663,-2.16227620916018,-0.45095162513332065,-0.018208169004976158,-0.859305195540196,0.5749936175260684,-0.6260626686490892,0.08273959439745177,-1.2386840269908725,1.6920761952061258,1.5575058488702516,-0.15067424545587454,-1.0229457584155368,0.6298652432753337,-0.6490659455294562,0.807750410502172,0.7305364800355432,0.5084467642544606,-2.9474791798208098,0.017262297941228393,0.6005311754665849,2.0871155430172363,-0.09290901861050481,-2.0051743103405895,-0.7048806762353214,0.41288920280421,-0.5522981707864809,-0.0233735676820036,-0.4596719914084368,0.4738451359045185,-0.6280053820246277,0.301640004897771,0.8388874099638784,-1.5269033100939446,-1.0705502715436934,0.142331452415578,-0.28728273288911854
sorafenib,-9.550707944339132,-4.251007486553625,-0.4287075290030673,2.6341515090930607,-8.033187383603252,2.0786126475859708,-3.2918895856688866,-0.8555041014723983,-2.7646255413779603,-6.246975722853509,-0.034463502525285766,1.8400547140726464,3.1888456198348156,-0.3847473775141134,-2.910306538250619,-1.6147522725197236,-1.5972742283064119,3.933049444767843,0.2898719917294308,-2.2806892107192636,-0.46244806795866106,2.7310266847841906,1.9507201572013502,1.7468013866985763,0.5114422167775008,-0.637234512699581,-1.2802868991992566,1.3042165263108532,-1.4279685354486797,2.0899621497145544,0.7464150581133269,0.12763877199882653,-1.2695492081254351,1.0787038590983165,-0.8069151279675256,-0.7300371618791122,0.809920664837159,-0.0047559556349016235,0.610206409219202,1.453390757603625,1.4882264672136045,1.4972463302909087,-0.6232268290875282,0.2794659706727652,-0.4151482264588783,0.2576559634685983,0.5967752890244118,-1.600239324875699,-0.011442452756515363,0.5236625065674546
sulfasalazine,-11.907806085809323,-4.032925026746573,-0.750059554942207,0.626142272334341,-6.609984762549099,6.950239623383495,0.3057136000702447,0.19935701208269194,-2.249253217099334,-4.335894531495627,3.7157222247705217,3.0595405619447296,1.165484251384482,-0.8489399826996609,-2.534342793123859,1.5091699163486074,-1.5449532205616043,0.5218132783241474,2.7225081692103252,0.38081970335924886,-0.630057525096027,-1.1415356575666498,-1.7667630101922092,0.8291853362461958,0.3783697082965818,1.4265585649045613,1.8032328083620563,-0.7300764096047959,-0.4485033608282354,0.3311361806070771,-0.926302620062359,1.9742974141797704,-0.20852026346485605,0.41797566516653833,0.6470250856659323,-0.6790424246225956,0.22902214105206872,-0.6161264631621032,-0.037186060992911225,-1.4376679826988548,-0.14961300407214162,1.9198450389169244,-0.6527739702594731,0.4411539184566258,0.1377464338845835,0.7289089837878062,-1.0391290897692684,-0.03608740719781755,-1.0533721243301146,0.03196335265462406
