DILIrank_ID,Human Intestinal Absorption,Blood Brain Barrier,Caco-2 permeable,P-glycoprotein substrate,P-glycoprotein inhibitor I,P-glycoprotein inhibitor II,Renal organic cation transporter,CYP450 2C9 substrate,CYP450 2D6 substrate,CYP450 3A4 substrate,CYP450 1A2 substrate,CYP450 2C9 inhibitor,CYP450 2D6 inhibitor,CYP450 2C19 inhibitor,CYP450 3A4 inhibitor,CYP450 inhibitory promiscuity,hERG inhibition (predictor I),hERG inhibition (predictor II),Ames test,Carcinogenicity,Biodegradation,Rat acute toxicity(LD50-mol/kg)
amineptine,0.6697496597862689,0.908618626136692,-0.9268346107794138,-1.2730606978656225,-1.1103485990194497,-0.8385487858515162,-0.6152175809294775,-0.5242859878403939,-0.6619579496889426,-1.1448061280674644,-0.436617024936066,-0.7684874633720943,-0.6116538358541098,-0.784337357379994,-0.5385834023393196,-0.3201021327301202,-0.04005991703998331,1.3887176738008367,2.1665554807939214,-0.6967973550898815,-0.10873946448000339,0.9505251782447403
chlormezanone,0.6521741384571778,0.908476139562524,-0.934952172226161,-1.42812624806625,-0.7282051056470502,-1.0664051714632319,-0.6446120940575418,-0.12055856610252363,-0.7157977270719491,1.1391625150986802,-0.9913802945024348,-0.8200990051704761,-0.8714099196349225,-0.8843439806695998,-0.9467108486391095,1.2766807953806698,-0.0044699536001820365,-0.7333222538192463,-0.39955431823665494,-0.4577968609033593,0.06879563143000347,0.6832438989178862
droxicam,-0.9120472598319205,-0.4284753858557895,-0.00772785758444387,-0.32228237489391,0.3505394420647046,0.5305137196747519,0.6239559303367465,1.4612544031267891,0.5866354330751427,-0.06844050121932607,0.39821643029064346,0.8579235598944726,0.5924535781554814,0.6744811923678677,0.7154067921343622,-0.6628709706768444,-0.6434099143016596,0.4090892383591628,0.8302854178613325,1.3125255557046798,1.533749506285849,-1.4554952648664483
nimesulide,0.7861235000429684,0.4750319809434779,-0.9188827138519882,-1.7626496822069295,-0.5321979263896203,-0.7729659134270322,-0.9596291955926393,-0.17650777939475962,-0.7275445875918777,0.8911074215109881,1.7973383067627897,2.51319264954293,-0.8714099196349225,-0.6430499344941604,-0.7577169920988939,2.685155911264318,2.8090103141146336,-0.49826351989140044,2.1043074852098465,-0.10800605016973217,-0.7580040590400676,1.0569487608059818
troglitazone,0.569074343435165,0.737492250560928,-1.153298008691729,0.9868890230920616,-0.8800284123620379,-0.5943367694640126,-0.9006630939562214,-0.7265437072536404,2.0417777799813073,1.2837244239444876,-0.48147741671490285,-0.40794662120347075,-0.8769602633054526,-0.42386443370916904,-0.2627161971080104,-0.4713467787373818,-0.0032427134815682275,-0.6722786075429706,-0.31649153548566517,-0.826865651245812,-0.7533747214674468,0.15536337224734884
trovafloxacin,0.7890243142429155,0.7269482440724963,1.4612194352381587,0.715785656673886,-1.139961194446831,-0.8034322844799708,-0.7595340158654554,-0.8321379971291276,-0.7572380405728085,-1.350149748587077,-0.7563241320996255,-0.6049584205413794,-0.7301140279079971,-0.5290527473246612,-0.8351938357274815,-0.3797173567003415,-0.028885572802078405,-0.7486238611524996,2.2091668847110957,-0.7499859976250746,-0.7809192800245405,0.4918281290585017
alaproclate,-0.9120472598319205,-0.4284753858557895,-0.00772785758444387,-0.32228237489391,0.3505394420647046,0.5305137196747519,0.6239559303367465,1.4612544031267891,0.5866354330751427,-0.06844050121932607,0.39821643029064346,0.8579235598944726,0.5924535781554814,0.6744811923678677,0.7154067921343622,-0.6628709706768444,-0.6434099143016596,0.4090892383591628,0.8302854178613325,1.3125255557046798,1.533749506285849,-1.4554952648664483
alclofenac,-0.9120472598319205,-0.4284753858557895,-0.00772785758444387,-0.32228237489391,0.3505394420647046,0.5305137196747519,0.6239559303367465,1.4612544031267891,0.5866354330751427,-0.06844050121932607,0.39821643029064346,0.8579235598944726,0.5924535781554814,0.6744811923678677,0.7154067921343622,-0.6628709706768444,-0.6434099143016596,0.4090892383591628,0.8302854178613325,1.3125255557046798,1.533749506285849,-1.4554952648664483
bendazac,-0.9120472598319205,-0.4284753858557895,-0.00772785758444387,-0.32228237489391,0.3505394420647046,0.5305137196747519,0.6239559303367465,1.4612544031267891,0.5866354330751427,-0.06844050121932607,0.39821643029064346,0.8579235598944726,0.5924535781554814,0.6744811923678677,0.7154067921343622,-0.6628709706768444,-0.6434099143016596,0.4090892383591628,0.8302854178613325,1.3125255557046798,1.533749506285849,-1.4554952648664483
benoxaprofen,0.7943140342545836,0.9677505544164108,-0.8888974358548198,-1.7187434814759652,-1.1526523067728518,-0.8650064238711733,-1.005137568327052,-0.4357654015517391,-0.6301435357808025,-0.9923955297262408,1.3894467308285032,-0.654905073894652,-0.9408685061404144,-0.4829357034242731,-1.0004304907889081,-0.387309508811982,-0.0006590500739601656,-1.0564466214416661,-0.9774592109935409,-0.6310664125682238,-0.7077757463771323,1.2583060904452061
benzbromarone,-0.9120472598319205,-0.4284753858557895,-0.00772785758444387,-0.32228237489391,0.3505394420647046,0.5305137196747519,0.6239559303367465,1.4612544031267891,0.5866354330751427,-0.06844050121932607,0.39821643029064346,0.8579235598944726,0.5924535781554814,0.6744811923678677,0.7154067921343622,-0.6628709706768444,-0.6434099143016596,0.4090892383591628,0.8302854178613325,1.3125255557046798,1.533749506285849,-1.4554952648664483
