DB_ID, logP, logS, PhysiologicalCharge, HydrogenAcceptor, HydrogenDonor, PolarSurfaceArea(A2), RotatableBondCount, Polarizability(A3), NumberofRings, Refractivity(m3.mol-1),Bioavailability, Rule of Five, Ghose Filter, Veber's Rule, MDDR-like Rule, Water Solubility(mg/mL), pKa(StrongestAcidic), pKa(StrongestBasic)
DB00916,-1.0607526405404226,1.1454274583489448,-0.14407977320788407,-0.17694661561225378,-0.2990932834807608,-0.08273754903241158,-0.32598012655862585,-0.7096534015066477,-0.8884119376471371,-0.7227853269624946,0.40503972861473336,0.5705974021574557,-1.1367608372355136,-0.5182142356837391,-0.5778004449065138,-0.08429356547764481,1.2134993736984623,-0.08625913904034885
DB04865,-0.017035606970240175,-0.16851023952505834,0.7265082557160798,0.43649223425486017,-0.07536208717625471,0.210090215612696,0.500754788406521,0.5038809147566609,0.9940966291144544,0.43794002111793073,-2.4688936154981045,-1.7525491637693282,-1.1367608372355136,-0.5182142356837391,1.7307013326405392,-0.16685538294727434,0.6144719487463877,1.0298343550372193
DB01348,-0.15681913825196095,-0.46713244358733175,-1.0146678021318478,-0.023586903145475305,-0.07536208717625471,0.005358939483701262,0.39741292403587763,0.24607745235431217,0.05284234573365866,0.20625532843712796,0.40503972861473336,0.5705974021574557,0.8796925151220883,-0.5182142356837391,1.7307013326405392,-0.1679733483696522,-0.9000839585204996,0.28577202565217386
DB00721,-0.012376155927516038,1.1454274583489448,0.7265082557160798,-0.33030632807903226,-0.2990932834807608,-0.2893665125693756,0.08738733092394758,-0.3905925848622993,-0.8884119376471371,-0.38809129501228373,0.40503972861473336,0.5705974021574557,0.8796925151220883,-0.5182142356837391,-0.5778004449065138,-0.07165075447489701,0.05478363826877775,0.9487280347724988
DB06810,-1.0980282488822148,0.30928528697457924,-0.14407977320788407,2.890247633723316,1.9382186795643,1.91954163030688,0.9141222458890945,2.152603733431141,2.405978054185648,1.7608331446515362,-2.4688936154981045,-1.7525491637693282,-1.1367608372355136,-0.5182142356837391,1.7307013326405392,-0.1499225394469649,-0.029259015381214924,-1.2658271446294374
DB00275,0.3976555358321985,-0.7060302068371501,-1.8852558310558116,0.2831325217880817,0.14836910912825138,0.25256921836031637,0.19072919529459093,0.20891659290892853,0.5234694874240565,0.38327026005316106,0.40503972861473336,0.5705974021574557,-1.1367608372355136,-0.5182142356837391,1.7307013326405392,-0.1682404099953282,-1.3846703231832227,0.3510097180390144
DB09125,-1.3170224478902444,1.5097465473049183,-2.7558438599797754,0.2831325217880817,-0.2990932834807608,0.33146922174550114,-0.11929639781733913,-0.7558141565989601,-1.3590390793375349,-0.41295164951752633,0.40503972861473336,0.5705974021574557,-1.1367608372355136,-0.5182142356837391,-0.5778004449065138,0.39130341471561,-1.0020080278407033,-1.3716179971486382
DB09130,-0.9908608748995622,2.041294070535765,-0.14407977320788407,-0.7903854654793677,-0.5228244797852669,-0.6948877140569674,-0.6360057196705559,-1.1172615785481992,-1.3590390793375349,-1.1972037587708748,0.40503972861473336,0.5705974021574557,-1.1367608372355136,1.929703838954918,-0.5778004449065138,-0.16838956675434938,-1.5473912057821444,-0.6310820295142328
DB00262,-0.41308894560178255,0.7273563726617619,-0.14407977320788407,-0.48366604054581075,-0.2990932834807608,-0.2440409787098014,-0.11929639781733913,-0.623138275610364,-1.3590390793375349,-0.6564910482818477,0.40503972861473336,0.5705974021574557,0.8796925151220883,-0.5182142356837391,-0.5778004449065138,-0.14665529615411999,0.5912261083751132,-1.5655678934338395
DB00237,-0.19875419763647725,0.7273563726617619,-0.14407977320788407,-0.33030632807903226,-0.07536208717625471,-0.14550720944985746,-0.32598012655862585,-0.5473649606475114,-0.8884119376471371,-0.5826005501690432,0.40503972861473336,0.5705974021574557,0.8796925151220883,-0.5182142356837391,-0.5778004449065138,-0.14864405294106908,-0.031047156948236006,0.8640953527571381
