DB_ID,PC-1,PC-2,PC-3,PC-4,PC-5,PC-6,PC-7,PC-8,PC-9,PC-10,PC-11,PC-12,PC-13,PC-14,PC-15,PC-16,PC-17,PC-18,PC-19,PC-20,PC-21,PC-22,PC-23,PC-24,PC-25,PC-26,PC-27,PC-28,PC-29,PC-30,PC-31,PC-32,PC-33,PC-34,PC-35,PC-36,PC-37,PC-38,PC-39,PC-40,PC-41,PC-42,PC-43,PC-44,PC-45,PC-46,PC-47,PC-48,PC-49,PC-50
DB01147,-21.561291741427045,13.23763857350119,7.6188669939048435,5.393098738410815,-5.5112405259942365,15.195293363463731,-6.061924159275345,-5.240620292143166,4.44360931586394,-4.155032918092921,-2.180199691094937,-2.5015683204762467,-0.008587179264101826,-9.155361760767015,6.274768762310154,1.725834447447328,3.903081100267391,0.2762700302096852,0.9140637443507911,2.0907233313742446,-3.224379012841636,0.7899706098504724,2.206616288786631,-1.1038700989342811,6.808957329283278,-1.840146552433622,-1.835621967813567,3.5631831622218244,1.7174038595160919,-6.037918632448151,-1.1395222547351769,3.0751229233922297,-5.910175261719246,5.544420829413365,3.070404327742346,-0.7669457693516571,-4.034626817981947,-0.31294156484160773,-0.3618533240145224,-2.887910933281504,-2.4690097821786967,-1.2100920384916274,2.8636715881411927,0.7554413292059686,-0.18077614501185674,-2.8663415234108967,-0.9250589752180184,-1.146064483352856,-1.5710391524357774,0.5835170445520896
DB01149,-27.20852142562452,-2.924286666187966,-10.35223773922935,-8.081428498357049,-3.2024048194183092,-4.141150071809379,11.564518932558167,7.076710905010595,3.6146062447676113,4.214229441572437,1.323358000419079,-1.904128319912169,-1.6668130375362527,0.338847044250514,2.155203919953744,2.4292451754922064,1.9839716445859128,1.3071761316595174,-0.5853098873095486,-2.3713060374687736,-2.7226643371955026,0.1865368447159091,-4.1600562222630355,3.1353186342654635,3.5140533898582036,-1.4424014663582498,-0.3094192251714183,3.543746778689483,-3.077404547218424,0.7011429378653582,1.131449080436605,-0.6343853927754822,-1.3432551786814697,1.0959449028879924,1.7882605242524012,-0.21316639592909536,0.7470920287192132,1.0769450466373214,0.18406685160645608,0.07319512053592332,-0.345658572018047,1.4732629092071545,-1.543356784868345,0.09940938424789188,0.06309070145434698,1.0352272338991866,0.12283573788139679,1.3794818246896363,0.5386064748937344,1.1433827577947424
DB01150,-15.408534005433548,9.635465828993492,12.999050443369345,7.951494905673512,-5.610492231441636,15.495315674853265,-5.844618026997253,5.307375789932445,-3.4312473288798326,-6.354949126987538,-8.177748381752057,0.3706727897503515,4.922469024529956,-4.979378471842157,10.414118114072657,-0.7596080346014423,-0.23719031119056339,2.6861114832007815,-6.190604930870222,2.1051771342902206,-1.3694038084751925,0.7075277900480912,-2.5096812214766477,-0.9676806953211615,-0.3776478378878963,0.45859168149715795,1.943505622951188,-1.86224947788171,-0.49615470857706684,2.4799918806487566,4.198391694770243,-0.14480709837173145,1.1088448228622423,-0.99818251942991,1.2117610995333303,-0.9229674903161192,-1.3526179109239396,0.10027591068827506,-1.310928655228127,0.7438998652399627,-0.031093180466820698,-1.2064900570219312,-0.614234471908949,0.18033760276771998,-0.47598948561847526,0.4135301049739207,-2.428405044493685,0.018146900814615514,1.00379899518923,-0.20035765946419
DB01151,-29.326786206784657,-10.379955151004248,-8.594529585271063,-9.927339719601589,7.230217244385373,-2.185321169806169,3.0286000719294663,3.7453433806036363,5.997047170546326,3.0817208867394976,-2.2261269163011494,0.29113091052836004,0.33889517544716596,-2.3058370617015154,4.702926367858073,-1.1640383280283675,-0.837782405825129,1.1741178009376183,0.4718465230803776,0.03171037435616369,2.3098339336460403,-2.3007938808543256,-0.13464244093585406,1.1741615582429403,-4.8880259284762175,1.0105207226732564,0.6187839773979043,2.6169872949588684,3.604868110437404,2.7490944776434354,-1.543856543900701,-0.8845824404882155,-0.012630469994125502,0.11926229431921757,0.4308277130013142,-0.5976730240346554,-0.33379964980670973,-3.4351465991384362,0.6401091105246204,0.16474138196875876,1.073669054260907,-0.07244014128290438,3.358616781325127,-1.9270159358857464,-0.6873398715900559,1.1054560268590583,-1.8276310695706555,-0.5021003600831612,-1.3337522664139414,-1.1479939304902633
DB01153,-13.952238660745573,-18.298964107777852,-10.552717208188731,3.3787524067548036,-6.567213702919601,-3.9909065679887608,-2.1400982439290095,2.6064586435954653,-2.7867075824799445,4.011126305439702,0.3704332577102383,-2.208675158573099,3.677028400942993,-3.6874940078102716,3.057767150282462,4.381080791181397,2.960931784128332,-6.905788505140871,0.1485333311736578,-4.8328791324987375,-3.714728286520055,-0.5502958109930891,0.2747221175447758,0.7431485247656531,5.333542744898163,1.0870270876902557,-0.28706502159244796,-2.357199915052623,-1.4288972663156683,0.12534983063358965,0.809409727523359,-2.5940358678269826,0.9495512516663314,1.6088393776557686,-1.0655321496711692,0.7002029459485518,-0.7422666477913534,-0.6341885668268277,2.343291028965741,2.1206310858944453,-0.9405929451618145,-3.1476644266602802,4.218630932414588,1.071061670987612,-0.8591307624929319,-0.9134923225701108,2.589145483688001,1.2219884336715372,-1.0942651254728788,3.5797734538563084
DB01154,22.039937119386213,-2.1988411174311335,10.779553968730351,6.861678316657405,2.0716951077123116,-6.514043697569037,6.433490735756799,-5.537960765069982,15.430552218620535,4.640486759377529,-12.2454212979234,-2.295205033225741,-4.267780727470433,8.18155243156575,-0.3909804787387044,1.46741301246316,0.5814000295844883,-6.137093190124364,-6.261002886495381,-0.27713573477991404,-0.28730066811073274,7.107968084397593,-2.094042752914686,-4.540800665187285,-0.9810773931190364,-1.73178221168557,4.142470587840303,-1.539007136328859,0.4668836140689953,-3.0264301157513254,-1.9715094265930166,-3.0849573978419444,3.2025656134314553,3.615071501571436,5.0289423162606335,-1.8230626895943158,6.044212138384039,-0.8652238962672004,-1.221753674877889,2.296992570402436,3.1434938255246276,-4.506531254473449,1.7463632021878543,-0.5216641546054503,3.296546469747707,1.722370631823786,3.342392393271013,0.6130738083954618,2.804463187315498,-0.5616122293236229
DB01155,-3.5693126744046073,19.613602246284724,-1.5066365561469965,13.742136272002364,-7.40232248039228,5.930612847485708,6.884784695898303,7.4422696939955255,-1.1146785113394078,-1.0953962065327902,3.65389854987883,-5.9306181320635645,0.885298364000009,1.0696327690002507,-4.91634173066226,0.6132834302109844,-2.709791613557161,-0.4792028662478368,-1.784218986861337,2.2188062030441076,4.342747500313657,-0.7351132634541585,-3.8944888092275005,-3.082880817138487,-1.9700648195254666,1.0258394300072418,-5.471021038270463,-1.012140746846158,-5.194705763009038,0.8681943746730273,1.5339878198614567,4.566207561953575,1.5490795121970709,-2.065650821047658,-3.838316229711808,-0.6226134331465988,0.4195922627533249,-1.8075127032819513,4.246135548232146,-0.858230449255245,-4.822005138211934,-2.7531616638045247,1.838387189070666,-0.07493865902257582,1.7474086188759288,0.940041052168996,-0.3631230202957225,1.1262419443746647,-1.3691047147696982,-1.76979906759837
DB01156,-12.97935918688545,-5.580426021020764,11.214077764632245,7.415721802774681,8.901534653774512,-4.451312327805479,-2.5436801672892617,-9.970585863724464,-6.372906197877252,-5.538588736099025,1.6457699254803577,-1.9177628003367384,-0.41524711480097387,-0.4002521460749269,-1.6799565078109178,2.7363831415889064,8.278288131509592,-3.190644789205866,-1.2833065069388654,0.8947126515222678,0.006478036736848587,-1.1460863031107147,4.092386521008334,4.048781271855072,4.457939229381135,-0.09965407578001846,-0.9426755443886219,0.5743172322555026,0.11097592347069568,2.310221497983385,1.1402016051196744,0.6837264997312932,-1.974123672686962,0.2055206726391963,-0.004510159368503813,0.2752066357325761,1.9083626801168196,-3.3129011797769867,-0.6678252629246597,2.181837303493251,-0.14133434998639455,1.1656471223054115,-0.7311325109140775,-0.14171228205341402,0.1189403592114779,-1.011486062685054,0.9810718658046143,-2.091532652844971,1.928235747836243,1.7805563488285758
DB01157,-4.286057149473528,-5.534062367205512,-2.74285101602938,12.826521360661877,-12.209540503077719,-12.272021022969415,-1.980352509349436,-7.94201642016173,-1.2030160199273123,-7.971490317773831,7.299718107414815,1.1473819382311456,2.2645674792694495,-4.454443499434169,-2.9639568884439007,-1.433325657640141,-6.358405977267085,1.1937228955765404,3.891001797080096,-1.0348890581501247,1.0355446072211056,-2.9153673168949674,-4.651480614748562,-3.630696507601426,1.3105226213975092,-0.15138437023436177,3.073681766902808,0.43329665093700426,2.2220832240958814,-1.9575324746162255,0.08909058583943076,1.3263080463947186,-1.0125101262486684,0.4737732153229591,0.5138426739731864,-2.967605980558892,1.5970697546306947,-0.15664705932753245,-1.665928811728253,0.379229407994845,0.41534064088349115,-0.478050804262744,0.5915089156588764,-0.8758133518545814,1.9316246968224275,1.1510417506121418,-0.34889412800959757,-3.4841357716137207,-1.6895632304101555,1.1273321722846843
DB01158,-9.506773789612756,-12.431159034648163,3.7710516272050847,-1.178310978538298,15.48575282889004,-7.22769355131779,-0.14920736323129194,-6.1808027587632655,7.236577639478418,-4.314295041553725,0.9199490605946106,0.4635720429866405,-2.249679273498261,-3.521937454130352,-1.1743734877633085,-1.6089343070237097,2.3722507523275445,2.759409255567987,1.191344177784363,-0.9972663545940618,-0.29230540157225293,0.97165344545743,-0.286084918082447,-1.2457032510017383,0.9924190357411561,-1.6365291502358774,-2.3433469878933,0.9619061151881465,2.9783814440120713,-1.3196169921093945,2.4220358764751695,-0.9503327766458547,1.938160059872121,-0.38709825636970396,-1.7803607766450282,2.051887088321298,1.9119627051435462,0.8159571461802594,0.2192992163911617,1.1690573390255363,-2.696636686570629,-1.3535027146215397,0.8462560231216797,0.15352719460954356,-0.9212487436214601,2.0477178710935746,0.4508851708345317,-0.8487997778461792,1.04442962200488,-0.29807818574470424
