DB_ID,Human Intestinal Absorption,Blood Brain Barrier,Caco-2 permeable,P-glycoprotein substrate,P-glycoprotein inhibitor I,P-glycoprotein inhibitor II,Renal organic cation transporter,CYP450 2C9 substrate,CYP450 2D6 substrate,CYP450 3A4 substrate,CYP450 1A2 substrate,CYP450 2C9 inhibitor,CYP450 2D6 inhibitor,CYP450 2C19 inhibitor,CYP450 3A4 inhibitor,CYP450 inhibitory promiscuity,hERG inhibition (predictor I),hERG inhibition (predictor II),Ames test,Carcinogenicity,Biodegradation,Rat acute toxicity(LD50-mol/kg)
DB01420,0.800172827,0.961245755,1.033864709,0.734095419,1.717598885,1.777389272,-0.73172238,-0.826054495,-0.901284477,1.274451857,-1.063483466,-0.720105397,-0.883317403,1.756427282,-0.647351203,-0.429502824,-0.036109103,-0.84865643,-1.044836638,-0.783013804,-0.72132151,0.233568472
DB01067,0.675860788,0.369206417,-1.230533621,0.569634358,-0.840142628,-0.961332764,-0.833825935,2.953358519,-0.893910477,-1.400082989,-1.072117861,2.544919357,-0.87215829,-0.892648447,-0.777692779,-0.32689155,0.011680631,-0.996303152,-0.694076591,-0.606125819,-0.704323865,0.331825372
DB01400,-2.328852144,0.938799444,0.99581045,-1.818038035,-1.175969436,-0.957611014,-0.98988813,-0.439007755,-0.508576079,1.053266234,-1.00180922,-0.834703864,-0.893838852,-0.892648447,-0.975961343,-0.338862241,0.041558506,-1.029095225,1.921104304,-0.081988264,-0.288570675,0.972584921
DB01239,0.783159933,0.926932922,1.220738305,1.046852565,1.664125288,1.981438222,1.986194307,-0.439532564,1.843215613,1.213529762,1.796813874,-0.834891423,2.023153156,-0.89282372,-0.77751496,2.221294665,-0.062716763,1.625744441,-0.559980356,-0.708297759,-0.735333081,1.151561626
DB00343,0.764462593,0.292145513,1.469280188,1.152803441,1.7063994,1.999723339,-0.708830836,-0.384690009,2.198711032,1.270426974,-1.001963406,-0.834891423,-0.87215829,-0.892648447,2.115250063,-0.326928958,0.075078211,1.683418942,-0.539896351,-0.721350562,-0.761288943,0.534075604
DB09291,-0.88427214,-0.431283382,-0.037090882,-0.366177193,0.338011634,0.543872103,0.678106062,1.449517931,0.669377627,-0.084677999,0.392799666,0.866455058,0.599409817,0.689190144,0.699808116,-0.651671383,-0.665997129,0.410789885,0.877141781,1.252773366,1.524434813,-1.443354747
DB01685,0.800172827,0.93451034,0.827454328,-1.796777577,-1.103724871,-1.004051973,-0.671768336,-0.819231976,-0.852753265,-1.412523537,1.68795883,-0.689908419,-0.931620418,-0.605551315,1.67408028,1.720396027,0.033457291,-1.118573094,2.264561076,-0.732602979,-0.77254414,0.096549676
DB00426,0.779959487,0.916782043,-1.061497959,0.814393181,-1.129751843,-0.946931212,-0.483185614,-0.953058307,-0.761692933,-1.282080733,-0.511190594,-0.626701081,-0.686757607,-0.739459868,-0.898254292,-0.327677126,-0.073642254,-1.083968393,-0.317146477,-0.830499001,-0.656546703,0.458108843
DB00226,0.585742982,0.323027063,-0.95599932,-1.451339067,-1.13653463,-0.878159758,-0.24427783,-0.858855066,-0.406369002,-1.484422585,-1.00180922,-0.834891423,-0.87215829,-0.89282372,-0.994632374,-0.299546,-0.003481275,-1.054472006,-0.307611646,-0.875958763,-0.628064164,0.588899512
DB04573,0.794445714,0.577656877,1.252506817,1.015225438,-1.114451139,-1.042725803,-0.887784575,-0.527962904,-0.701329022,1.176208119,-0.627600733,-0.896410732,-0.934011657,-0.55279415,-0.888474228,-0.309309596,0.038585583,1.676992355,-0.975658399,-0.805743685,-0.729131238,0.175794398
